date,time,subject,blocknum,blockcode,trialnum,trialcode,response,correct,latency,stimulus1
3/13/24,16:06:52,005,5,test_nc1,24,numb_comp1,30,0,3955,17093622            17092522
3/13/24,16:06:52,005,5,test_nc1,25,blank7,0,0,1259,0
3/13/24,16:06:52,005,5,test_nc1,26,numb_comp1,30,0,3145,89994            89984
3/13/24,16:06:52,005,5,test_nc1,27,blank4,0,0,906,0
3/13/24,16:06:52,005,5,test_nc1,28,numb_comp1,30,0,2449,8946221            8946111
3/13/24,16:06:52,005,5,test_nc1,29,blank1,0,0,553,0
3/13/24,16:06:52,005,5,test_nc1,30,numb_comp1,30,0,1732,411205238            412315238
3/13/24,16:06:52,005,5,test_nc1,31,blank3,0,0,788,0
3/13/24,16:06:52,005,5,test_nc1,32,numb_comp1,30,0,1316,160            161
3/13/24,16:06:52,005,5,test_nc1,33,blank1,0,0,553,0
3/13/24,16:06:52,005,5,test_nc1,34,numb_comp1,38,0,5376,96680137317            96680137317
3/13/24,16:06:52,005,5,test_nc1,35,blank4,0,0,906,0
3/13/24,16:06:52,005,5,test_nc1,36,numb_comp1,38,0,2417,100453190            100453190
3/13/24,16:06:52,005,5,test_nc1,37,blank7,0,0,1259,0
3/13/24,16:06:52,005,5,test_nc1,38,numb_comp1,30,0,4097,3633616033            3633627133
3/13/24,16:06:52,005,5,test_nc1,39,blank9,0,0,1494,0
3/13/24,16:06:52,005,5,test_nc1,40,numb_comp1,38,0,5984,674722052809            674722052809
3/13/24,16:06:52,005,5,test_nc1,41,blank5,0,0,1024,0
3/13/24,16:06:52,005,5,test_nc1,42,numb_comp1,30,0,2939,4803720325            4802610325
3/13/24,16:06:52,005,5,test_nc1,43,blank8,0,0,1376,0
3/13/24,16:06:52,005,5,test_nc1,44,numb_comp1,30,0,3616,98514271399            98403271399
3/13/24,16:06:52,005,5,test_nc1,45,blank9,0,0,1494,0
3/13/24,16:06:52,005,5,test_nc1,46,numb_comp1,38,0,4930,4194957            4194957
3/13/24,16:06:52,005,5,test_nc1,47,blank7,0,0,1259,0
3/13/24,16:06:52,005,5,test_nc1,48,numb_comp1,38,0,3168,79948            79948
3/13/24,16:06:52,005,5,test_nc1,49,blank9,0,0,1494,0
3/13/24,16:06:52,005,5,test_nc1,50,numb_comp1,30,0,1463,754            755
3/13/24,16:06:52,005,5,test_nc1,51,blank2,0,0,671,0
3/13/24,16:06:52,005,5,test_nc1,52,numb_comp1,30,0,2263,6841            6851
3/13/24,16:06:52,005,5,test_nc1,53,blank10,0,0,1612,0
3/13/24,16:06:52,005,5,test_nc1,54,numb_comp1,30,0,5302,951448201163            951448201173
3/13/24,16:06:52,005,5,test_nc1,55,blank3,0,0,788,0
3/13/24,16:06:52,005,5,test_nc1,56,numb_comp1,38,0,2536,8662            8662
3/13/24,16:06:52,005,5,test_nc1,57,blank10,0,0,1612,0
3/13/24,16:06:52,005,5,test_nc1,58,numb_comp1,38,0,2204,851            851
3/13/24,16:06:52,005,5,test_nc1,59,blank2,0,0,671,0
3/13/24,16:06:52,005,5,test_nc1,60,numb_comp1,38,0,8221,63032049608            63020949608
3/13/24,16:06:52,005,5,test_nc1,61,blank3,0,0,788,0
3/13/24,16:06:52,005,5,test_nc1,62,numb_comp1,38,0,5211,7379311            7379311
3/13/24,16:06:52,005,5,test_nc1,63,blank10,0,0,1612,0
3/13/24,16:06:52,005,5,test_nc1,64,numb_comp1,30,0,2502,996663            996553
3/13/24,16:06:52,005,5,test_nc1,65,blank1,0,0,553,0
3/13/24,16:06:52,005,5,test_nc1,66,numb_comp1,30,0,4543,21153530            21153420
3/13/24,16:06:52,005,5,test_nc1,67,blank5,0,0,1024,0
3/13/24,16:06:52,005,5,test_nc1,68,numb_comp1,38,0,2335,9013            9013
3/13/24,16:06:52,005,5,test_nc1,69,blank2,0,0,671,0
3/13/24,16:06:52,005,5,test_nc1,70,numb_comp1,38,0,4954,92389075844            92389075844
3/13/24,16:06:52,005,5,test_nc1,71,blank5,0,0,1024,0
3/13/24,16:06:52,005,5,test_nc1,72,numb_comp1,30,0,5017,6318            6418
3/13/24,16:06:52,005,5,test_nc1,73,blank1,0,0,553,0
3/13/24,16:06:52,005,5,test_nc1,74,numb_comp1,38,0,2217,62056            62056
3/13/24,16:06:52,005,5,test_nc1,75,blank4,0,0,906,0
3/13/24,16:06:52,005,5,test_nc1,76,numb_comp1,30,0,4152,168659794            168660904
3/13/24,16:06:52,005,5,test_nc1,77,blank6,0,0,1141,0
3/13/24,16:06:52,005,5,test_nc1,78,numb_comp1,38,0,3867,658697            658697
3/13/24,16:06:52,005,5,test_nc1,79,blank2,0,0,671,0
3/13/24,16:06:52,005,5,test_nc1,80,numb_comp1,38,0,5230,2243565304            2243565304
3/13/24,16:06:52,005,6,test_nc2,1,blank_1st,0,0,1500,0
3/13/24,16:06:52,005,6,test_nc2,2,numb_comp2,30,0,3162,610459            611559
3/13/24,16:06:52,005,6,test_nc2,3,blank8,0,0,1376,0
3/13/24,16:06:52,005,6,test_nc2,4,numb_comp2,38,0,5364,75538            75538
3/13/24,16:06:52,005,6,test_nc2,5,blank9,0,0,1494,0
3/13/24,16:06:52,005,6,test_nc2,6,numb_comp2,38,0,2198,2089            2089
3/13/24,16:06:52,005,6,test_nc2,7,blank7,0,0,1259,0
3/13/24,16:06:52,005,6,test_nc2,8,numb_comp2,38,0,2983,155121            155121
3/13/24,16:06:52,005,6,test_nc2,9,blank6,0,0,1141,0
3/13/24,16:06:52,005,6,test_nc2,10,numb_comp2,38,0,2708,1981094            1981094
3/13/24,16:06:52,005,6,test_nc2,11,blank6,0,0,1141,0
3/13/24,16:06:52,005,6,test_nc2,12,numb_comp2,30,0,3708,69960347            69960457
3/13/24,16:06:52,005,6,test_nc2,13,blank4,0,0,906,0
3/13/24,16:06:52,005,6,test_nc2,14,numb_comp2,30,0,4939,29792117073            29792105973
3/13/24,16:06:52,005,6,test_nc2,15,blank8,0,0,1376,0
3/13/24,16:06:52,005,6,test_nc2,16,numb_comp2,38,0,2812,278233            278233
3/13/24,16:06:52,005,6,test_nc2,17,blank3,0,0,788,0
3/13/24,16:06:52,005,6,test_nc2,18,numb_comp2,30,0,2511,24068            24168
3/13/24,16:06:52,005,6,test_nc2,19,blank5,0,0,1024,0
3/13/24,16:06:52,005,6,test_nc2,20,numb_comp2,38,0,4725,4215469941            4215469941
3/13/24,16:06:52,005,6,test_nc2,21,blank4,0,0,906,0
3/13/24,16:06:52,005,6,test_nc2,22,numb_comp2,38,0,7313,897529167144            897529167144
3/13/24,16:06:52,005,6,test_nc2,23,blank10,0,0,1612,0
3/13/24,16:06:52,005,6,test_nc2,24,numb_comp2,38,0,6764,391317180            391317180
3/13/24,16:06:52,005,6,test_nc2,25,blank1,0,0,553,0
3/13/24,16:06:52,005,6,test_nc2,26,numb_comp2,30,0,2346,696            695
3/13/24,16:06:52,005,6,test_nc2,27,blank2,0,0,671,0
3/13/24,16:06:52,005,6,test_nc2,28,numb_comp2,30,0,3148,9450584455            9461684455
3/13/24,16:06:52,005,6,test_nc2,29,blank5,0,0,1024,0
3/13/24,16:06:52,005,6,test_nc2,30,numb_comp2,30,0,3583,619165564            619164454
3/13/24,16:06:52,005,6,test_nc2,31,blank6,0,0,1141,0
3/13/24,16:06:52,005,6,test_nc2,32,numb_comp2,38,0,3723,762115347            762115347
3/13/24,16:06:52,005,6,test_nc2,33,blank1,0,0,553,0
3/13/24,16:06:52,005,6,test_nc2,34,numb_comp2,30,0,3329,8197739            8197849
3/13/24,16:06:52,005,6,test_nc2,35,blank9,0,0,1494,0
3/13/24,16:06:52,005,6,test_nc2,36,numb_comp2,38,0,3455,92739            92739
3/13/24,16:06:52,005,6,test_nc2,37,blank7,0,0,1259,0
3/13/24,16:06:52,005,6,test_nc2,38,numb_comp2,30,0,3219,55824            55834
3/13/24,16:06:52,005,6,test_nc2,39,blank2,0,0,671,0
3/13/24,16:06:52,005,6,test_nc2,40,numb_comp2,38,0,4809,6168121946            6168121946
3/13/24,16:06:52,005,6,test_nc2,41,blank7,0,0,1259,0
3/13/24,16:06:52,005,6,test_nc2,42,numb_comp2,30,0,2076,1048            1038
3/13/24,16:06:52,005,6,test_nc2,43,blank1,0,0,553,0
3/13/24,16:06:52,005,6,test_nc2,44,numb_comp2,38,0,7046,16761296358            16761296358
3/13/24,16:06:52,005,6,test_nc2,45,blank6,0,0,1141,0
3/13/24,16:06:52,005,6,test_nc2,46,numb_comp2,30,0,4752,628605363062            628605473062
3/13/24,16:06:52,005,6,test_nc2,47,blank10,0,0,1612,0
3/13/24,16:06:52,005,6,test_nc2,48,numb_comp2,30,0,3263,657973458            657962358
3/13/24,16:06:52,005,6,test_nc2,49,blank4,0,0,906,0
3/13/24,16:06:52,005,6,test_nc2,50,numb_comp2,38,0,5465,74246568316            74246568316
3/13/24,16:06:52,005,6,test_nc2,51,blank4,0,0,906,0
3/13/24,16:06:52,005,6,test_nc2,52,numb_comp2,38,0,1351,482            482
3/13/24,16:06:52,005,6,test_nc2,53,blank5,0,0,1024,0
3/13/24,16:06:52,005,6,test_nc2,54,numb_comp2,30,0,8853,904679492412            904679492402
3/13/24,16:06:52,005,6,test_nc2,55,blank8,0,0,1376,0
3/13/24,16:06:52,005,6,test_nc2,56,numb_comp2,38,0,3201,18676209            18676209
3/13/24,16:06:52,005,6,test_nc2,57,blank8,0,0,1376,0
3/13/24,16:06:52,005,6,test_nc2,58,numb_comp2,30,0,2738,87791454            87792554
3/13/24,16:06:52,005,6,test_nc2,59,blank7,0,0,1259,0
3/13/24,16:06:52,005,6,test_nc2,60,numb_comp2,38,0,1684,146            146
3/13/24,16:06:52,005,6,test_nc2,61,blank2,0,0,671,0
3/13/24,16:06:52,005,6,test_nc2,62,numb_comp2,30,0,2331,444008            444118
3/13/24,16:06:52,005,6,test_nc2,63,blank9,0,0,1494,0
3/13/24,16:06:52,005,6,test_nc2,64,numb_comp2,38,0,4365,22308208            22308208
3/13/24,16:06:52,005,6,test_nc2,65,blank2,0,0,671,0
3/13/24,16:06:52,005,6,test_nc2,66,numb_comp2,38,0,2883,4334416            4334416
3/13/24,16:06:52,005,6,test_nc2,67,blank9,0,0,1494,0
3/13/24,16:06:52,005,6,test_nc2,68,numb_comp2,30,0,3053,7648791            7649891
3/13/24,16:06:52,005,6,test_nc2,69,blank1,0,0,553,0
3/13/24,16:06:52,005,6,test_nc2,70,numb_comp2,30,0,1615,802            801
3/13/24,16:06:52,005,6,test_nc2,71,blank3,0,0,788,0
3/13/24,16:06:52,005,6,test_nc2,72,numb_comp2,30,0,2580,3980            3880
3/13/24,16:06:52,005,6,test_nc2,73,blank5,0,0,1024,0
3/13/24,16:06:52,005,6,test_nc2,74,numb_comp2,30,0,2695,6875766673            6876876673
3/13/24,16:06:52,005,6,test_nc2,75,blank10,0,0,1612,0
3/13/24,16:06:52,005,6,test_nc2,76,numb_comp2,38,0,2508,7321            7321
3/13/24,16:06:52,005,6,test_nc2,77,blank10,0,0,1612,0
3/13/24,16:06:52,005,6,test_nc2,78,numb_comp2,30,0,2256,58891903224            59002903224
3/13/24,16:06:52,005,6,test_nc2,79,blank3,0,0,788,0
3/13/24,16:06:52,005,6,test_nc2,80,numb_comp2,38,0,6442,656607640290            656607640290
3/13/24,16:06:52,005,7,SMf1_Abr,1,SMf_Abr12,SMf_Pos6,1,5427,
3/13/24,16:06:52,005,7,SMf1_Abr,2,SMf_Abr2,SMf_Pos13,0,5271,
3/13/24,16:06:52,005,7,SMf1_Abr,3,SMf_Abr4,c11,1,14889,b
3/13/24,16:06:52,005,7,SMf1_Abr,4,SMf_Abr3,k14,1,6936,b
3/13/24,16:06:52,005,7,SMf1_Abr,5,SMf_Abr8,SMf_Pos5,1,1733,
3/13/24,16:06:52,005,7,SMf1_Abr,6,SMf_Abr6,p16,0,6964,b
3/13/24,16:06:52,005,7,SMf1_Abr,7,SMf_Abr1,q17,0,13007,b
3/13/24,16:06:52,005,7,SMf1_Abr,8,SMf_Abr10,SMf_Pos2,0,3612,
3/13/24,16:06:52,005,7,SMf1_Abr,9,SMf_Abr11,SMf_Pos1,0,5533,
3/13/24,16:06:52,005,7,SMf1_Abr,10,SMf_Abr9,h13,0,7205,b
3/13/24,16:06:52,005,7,SMf1_Abr,11,SMf_Abr7,h13,0,503,b
3/13/24,16:06:52,005,7,SMf1_Abr,12,SMf_Abr5,SMf_Pos8,1,6409,
3/14/24,16:22:57,006,1,SMf1Practice,1,achtung,0,0,1700,Attention!
3/14/24,16:22:57,006,1,SMf1Practice,2,SMf1_P_T1,0,0,2800,a
3/14/24,16:22:57,006,1,SMf1Practice,3,SMf1_P_T2,0,0,2800,i
3/14/24,16:22:57,006,1,SMf1Practice,4,SMf1_P_T3,0,0,2800,u
3/14/24,16:22:57,006,2,SMf1Practice_Abr,1,SMf1_P_Abr1,SMf_Pos9,1,1603,
3/14/24,16:22:57,006,2,SMf1Practice_Abr,2,SMf1_P_Abr2,i12,1,4090,u
3/14/24,16:22:57,006,2,SMf1Practice_Abr,3,SMf1_P_Abr3,SMf_Pos12,1,1866,
3/14/24,16:22:57,006,3,SMf1,1,achtung,0,0,1700,Attention!
3/14/24,16:22:57,006,3,SMf1,2,SMf1_T1,0,0,2800,b
3/14/24,16:22:57,006,3,SMf1,3,SMf1_T2,0,0,2800,m
3/14/24,16:22:57,006,3,SMf1,4,SMf1_T3,0,0,2800,k
3/14/24,16:22:57,006,3,SMf1,5,SMf1_T4,0,0,2800,c
3/14/24,16:22:57,006,3,SMf1,6,SMf1_T5,0,0,2800,y
3/14/24,16:22:57,006,3,SMf1,7,SMf1_T6,0,0,2800,h
3/14/24,16:22:57,006,3,SMf1,8,SMf1_T7,0,0,2800,x
3/14/24,16:22:57,006,3,SMf1,9,SMf1_T8,0,0,2800,p
3/14/24,16:22:57,006,3,SMf1,10,SMf1_T9,0,0,2800,t
3/14/24,16:22:57,006,3,SMf1,11,SMf1_T10,0,0,2800,d
3/14/24,16:22:57,006,3,SMf1,12,SMf1_T11,0,0,2800,q
3/14/24,16:22:57,006,3,SMf1,13,SMf1_T12,0,0,2800,v
3/14/24,16:22:57,006,4,prac_nc,1,blank_1st,0,0,1500,0
3/14/24,16:22:57,006,4,prac_nc,2,pract_nc_correct,38,1,2716,438            438
3/14/24,16:22:57,006,4,prac_nc,3,blank4,0,0,906,0
3/14/24,16:22:57,006,4,prac_nc,4,pract_nc_correct,38,1,828,659            659
3/14/24,16:22:57,006,4,prac_nc,5,blank2,0,0,671,0
3/14/24,16:22:57,006,4,prac_nc,6,pract_nc_incorrect,30,1,2860,4821459            4814259
3/14/24,16:22:57,006,4,prac_nc,7,blank1,0,0,553,0
3/14/24,16:22:57,006,4,prac_nc,8,pract_nc_correct,38,1,1220,1624            1624
3/14/24,16:22:57,006,4,prac_nc,9,blank3,0,0,788,0
3/14/24,16:22:57,006,4,prac_nc,10,pract_nc_incorrect,30,1,2328,658331            656331
3/14/24,16:22:57,006,4,prac_nc,11,blank6,0,0,1141,0
3/14/24,16:22:57,006,4,prac_nc,12,pract_nc_incorrect,30,1,2038,73845            73855
3/14/24,16:22:57,006,5,test_nc1,1,blank_1st,0,0,1500,0
3/14/24,16:22:57,006,5,test_nc1,2,numb_comp1,30,0,3071,84470088            84470088
3/14/24,16:22:57,006,5,test_nc1,3,blank5,0,0,1024,0
3/14/24,16:22:57,006,5,test_nc1,4,numb_comp1,30,0,1709,822813            821713
3/14/24,16:22:57,006,5,test_nc1,5,blank8,0,0,1376,0
3/14/24,16:22:57,006,5,test_nc1,6,numb_comp1,38,0,2013,167390            167390
3/14/24,16:22:57,006,5,test_nc1,7,blank10,0,0,1612,0
3/14/24,16:22:57,006,5,test_nc1,8,numb_comp1,38,0,4583,3373597617            3373597617
3/14/24,16:22:57,006,5,test_nc1,9,blank7,0,0,1259,0
3/14/24,16:22:57,006,5,test_nc1,10,numb_comp1,38,0,739,869            869
3/14/24,16:22:57,006,5,test_nc1,11,blank9,0,0,1494,0
3/14/24,16:22:57,006,5,test_nc1,12,numb_comp1,38,0,2912,946154158            946154158
3/14/24,16:22:57,006,5,test_nc1,13,blank5,0,0,1024,0
3/14/24,16:22:57,006,5,test_nc1,14,numb_comp1,30,0,2435,744597632877            744598742877
3/14/24,16:22:57,006,5,test_nc1,15,blank5,0,0,1024,0
3/14/24,16:22:57,006,5,test_nc1,16,numb_comp1,30,0,2436,7433615            7432515
3/14/24,16:22:57,006,5,test_nc1,17,blank9,0,0,1494,0
3/14/24,16:22:57,006,5,test_nc1,18,numb_comp1,30,0,1472,76672            76572
3/14/24,16:22:57,006,5,test_nc1,19,blank7,0,0,1259,0
3/14/24,16:22:57,006,5,test_nc1,20,numb_comp1,38,0,3096,63038506            63038506
3/14/24,16:22:57,006,5,test_nc1,21,blank1,0,0,553,0
3/14/24,16:22:57,006,5,test_nc1,22,numb_comp1,38,0,4352,338242381215            338242381215
3/14/24,16:22:57,006,5,test_nc1,23,blank4,0,0,906,0
3/14/24,16:22:57,006,5,test_nc1,24,numb_comp1,30,0,2694,17093622            17092522
3/14/24,16:22:57,006,5,test_nc1,25,blank7,0,0,1259,0
3/14/24,16:22:57,006,5,test_nc1,26,numb_comp1,38,0,1385,89994            89984
3/14/24,16:22:57,006,5,test_nc1,27,blank1,0,0,553,0
3/14/24,16:22:57,006,5,test_nc1,28,numb_comp1,30,0,1433,8946221            8946111
3/14/24,16:22:57,006,5,test_nc1,29,blank2,0,0,671,0
3/14/24,16:22:57,006,5,test_nc1,30,numb_comp1,30,0,1690,411205238            412315238
3/14/24,16:22:57,006,5,test_nc1,31,blank3,0,0,788,0
3/14/24,16:22:57,006,5,test_nc1,32,numb_comp1,30,0,1012,160            161
3/14/24,16:22:57,006,5,test_nc1,33,blank3,0,0,788,0
3/14/24,16:22:57,006,5,test_nc1,34,numb_comp1,38,0,3690,96680137317            96680137317
3/14/24,16:22:57,006,5,test_nc1,35,blank8,0,0,1376,0
3/14/24,16:22:57,006,5,test_nc1,36,numb_comp1,38,0,5927,100453190            100453190
3/14/24,16:22:57,006,5,test_nc1,37,blank1,0,0,553,0
3/14/24,16:22:57,006,5,test_nc1,38,numb_comp1,30,0,2312,3633616033            3633627133
3/14/24,16:22:57,006,5,test_nc1,39,blank3,0,0,788,0
3/14/24,16:22:57,006,5,test_nc1,40,numb_comp1,38,0,5295,674722052809            674722052809
3/14/24,16:22:57,006,5,test_nc1,41,blank10,0,0,1612,0
3/14/24,16:22:57,006,5,test_nc1,42,numb_comp1,30,0,4103,4803720325            4802610325
3/14/24,16:22:57,006,5,test_nc1,43,blank2,0,0,671,0
3/14/24,16:22:57,006,5,test_nc1,44,numb_comp1,30,0,6297,98514271399            98403271399
3/14/24,16:22:57,006,5,test_nc1,45,blank9,0,0,1494,0
3/14/24,16:22:57,006,5,test_nc1,46,numb_comp1,38,0,3130,4194957            4194957
3/14/24,16:22:57,006,5,test_nc1,47,blank3,0,0,788,0
3/14/24,16:22:57,006,5,test_nc1,48,numb_comp1,38,0,2832,79948            79948
3/14/24,16:22:57,006,5,test_nc1,49,blank7,0,0,1259,0
3/14/24,16:22:57,006,5,test_nc1,50,numb_comp1,30,0,902,754            755
3/14/24,16:22:57,006,5,test_nc1,51,blank2,0,0,671,0
3/14/24,16:22:57,006,5,test_nc1,52,numb_comp1,30,0,1534,6841            6851
3/14/24,16:22:57,006,5,test_nc1,53,blank8,0,0,1376,0
3/14/24,16:22:57,006,5,test_nc1,54,numb_comp1,30,0,4269,951448201163            951448201173
3/14/24,16:22:57,006,5,test_nc1,55,blank4,0,0,906,0
3/14/24,16:22:57,006,5,test_nc1,56,numb_comp1,38,0,1197,8662            8662
3/14/24,16:22:57,006,5,test_nc1,57,blank2,0,0,671,0
3/14/24,16:22:57,006,5,test_nc1,58,numb_comp1,38,0,801,851            851
3/14/24,16:22:57,006,5,test_nc1,59,blank1,0,0,553,0
3/14/24,16:22:57,006,5,test_nc1,60,numb_comp1,30,0,3033,63032049608            63020949608
3/14/24,16:22:57,006,5,test_nc1,61,blank4,0,0,906,0
3/14/24,16:22:57,006,5,test_nc1,62,numb_comp1,38,0,2390,7379311            7379311
3/14/24,16:22:57,006,5,test_nc1,63,blank9,0,0,1494,0
3/14/24,16:22:57,006,5,test_nc1,64,numb_comp1,30,0,1324,996663            996553
3/14/24,16:22:57,006,5,test_nc1,65,blank6,0,0,1141,0
3/14/24,16:22:57,006,5,test_nc1,66,numb_comp1,30,0,2775,21153530            21153420
3/14/24,16:22:57,006,5,test_nc1,67,blank5,0,0,1024,0
3/14/24,16:22:57,006,5,test_nc1,68,numb_comp1,38,0,5753,9013            9013
3/14/24,16:22:57,006,5,test_nc1,69,blank6,0,0,1141,0
3/14/24,16:22:57,006,5,test_nc1,70,numb_comp1,38,0,3961,92389075844            92389075844
3/14/24,16:22:57,006,5,test_nc1,71,blank8,0,0,1376,0
3/14/24,16:22:57,006,5,test_nc1,72,numb_comp1,30,0,946,6318            6418
3/14/24,16:22:57,006,5,test_nc1,73,blank10,0,0,1612,0
3/14/24,16:22:57,006,5,test_nc1,74,numb_comp1,38,0,1697,62056            62056
3/14/24,16:22:57,006,5,test_nc1,75,blank4,0,0,906,0
3/14/24,16:22:57,006,5,test_nc1,76,numb_comp1,30,0,2398,168659794            168660904
3/14/24,16:22:57,006,5,test_nc1,77,blank6,0,0,1141,0
3/14/24,16:22:57,006,5,test_nc1,78,numb_comp1,38,0,2316,658697            658697
3/14/24,16:22:57,006,5,test_nc1,79,blank10,0,0,1612,0
3/14/24,16:22:57,006,5,test_nc1,80,numb_comp1,38,0,7121,2243565304            2243565304
3/14/24,16:22:57,006,6,test_nc2,1,blank_1st,0,0,1500,0
3/14/24,16:22:57,006,6,test_nc2,2,numb_comp2,30,0,1307,610459            611559
3/14/24,16:22:57,006,6,test_nc2,3,blank6,0,0,1141,0
3/14/24,16:22:57,006,6,test_nc2,4,numb_comp2,38,0,3527,75538            75538
3/14/24,16:22:57,006,6,test_nc2,5,blank7,0,0,1259,0
3/14/24,16:22:57,006,6,test_nc2,6,numb_comp2,38,0,1096,2089            2089
3/14/24,16:22:57,006,6,test_nc2,7,blank7,0,0,1259,0
3/14/24,16:22:57,006,6,test_nc2,8,numb_comp2,38,0,1407,155121            155121
3/14/24,16:22:57,006,6,test_nc2,9,blank7,0,0,1259,0
3/14/24,16:22:57,006,6,test_nc2,10,numb_comp2,38,0,1433,1981094            1981094
3/14/24,16:22:57,006,6,test_nc2,11,blank10,0,0,1612,0
3/14/24,16:22:57,006,6,test_nc2,12,numb_comp2,30,0,1787,69960347            69960457
3/14/24,16:22:57,006,6,test_nc2,13,blank7,0,0,1259,0
3/14/24,16:22:57,006,6,test_nc2,14,numb_comp2,30,0,5436,29792117073            29792105973
3/14/24,16:22:57,006,6,test_nc2,15,blank5,0,0,1024,0
3/14/24,16:22:57,006,6,test_nc2,16,numb_comp2,30,0,2479,278233            278233
3/14/24,16:22:57,006,6,test_nc2,17,blank2,0,0,671,0
3/14/24,16:22:57,006,6,test_nc2,18,numb_comp2,30,0,1700,24068            24168
